Dante Pozzi,14,67,1,15,8,4,16.4%,14.9%,0.090,0.222,0.196,0.328,0.286,0.292,59.6,0.7,-4.5
Zach Burton,14,62,1,17,10,4,16.1%,27.4%,0.146,0.333,0.229,0.403,0.375,0.363,91.7,0.0,-1.0
Lucas Malave,14,62,2,14,13,4,6.5%,8.1%,0.189,0.353,0.345,0.387,0.534,0.398,107.5,0.7,1.6
Ben Nardi,13,60,4,12,14,2,8.3%,21.7%,0.366,0.429,0.365,0.450,0.731,0.492,149.2,-0.4,5.3
Joe Marini,14,56,5,17,17,1,14.3%,10.7%,0.435,0.429,0.435,0.536,0.870,0.575,187.2,0.1,9.6
Mitchel Johnson,13,55,1,10,12,0,16.4%,21.8%,0.228,0.500,0.386,0.491,0.614,0.472,141.0,-0.1,4.3
Jesse Lacefield,14,48,0,6,11,0,2.1%,14.6%,0.095,0.297,0.262,0.313,0.357,0.296,61.7,-0.1,-3.7
Matthew Fisher,12,42,1,8,9,0,9.5%,14.3%,0.194,0.333,0.306,0.381,0.500,0.379,98.7,-0.1,-0.2
Derek Zelesnick,11,33,0,6,3,0,9.1%,30.3%,0.000,0.231,0.130,0.355,0.130,0.278,52.8,-1.5,-4.5
Justin McCarthy,8,26,1,8,4,2,19.2%,11.5%,0.200,0.235,0.250,0.385,0.450,0.365,93.0,-0.4,-0.8
Michael Napolitano,7,19,1,2,5,0,5.3%,15.8%,0.294,0.462,0.412,0.474,0.706,0.500,152.0,0.0,1.9
Steve Thomas,10,16,0,2,2,0,0.0%,25.0%,0.125,0.500,0.375,0.375,0.500,0.380,98.2,0.0,-0.1
Shane Newsome,4,10,0,0,1,0,0.0%,20.0%,0.000,0.250,0.200,0.200,0.200,0.180,7.3,0.0,-1.8
Sean O'Mara,5,5,0,2,0,0,0.0%,60.0%,0.000,0.000,0.000,0.000,0.000,0.000,-70.2,0.0,-1.6
Mark Villanueva,8,4,0,5,0,2,0.0%,0.0%,0.250,0.250,0.250,0.250,0.500,0.310,69.2,0.4,0.2
Jack Elwell,7,3,1,4,3,0,33.3%,33.3%,1.500,-,0.500,0.667,2.000,0.890,335.9,0.0,1.4
Liam Walsh,3,3,0,1,2,0,0.0%,0.0%,0.000,0.500,0.500,0.667,0.500,0.550,181.0,0.0,0.5
Ryan Moore,2,2,0,1,2,0,0.0%,0.0%,0.000,0.500,0.500,0.500,0.500,0.450,120.8,0.0,0.1
Michael Miller,2,1,0,0,0,0,0.0%,0.0%,0.000,1.000,1.000,1.000,1.000,0.900,353.1,0.0,0.5
